SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
040,36,000,00000,00000,00000,0,A,New York,New York,19378102,19378144,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561
162,36,000,00199,00000,00000,0,A,Adams village,New York,1775,1785,1792,1817,1854,1830,1827,1809,1757,1763,1745,1714
162,36,000,00276,00000,00000,0,A,Addison village,New York,1763,1763,1762,1760,1743,1737,1721,1706,1695,1679,1663,1652
162,36,000,00342,00000,00000,0,A,Afton village,New York,822,835,832,831,826,822,820,812,809,802,800,799
162,36,000,00408,00000,00000,0,A,Airmont village,New York,8628,8625,8644,8716,8742,8783,8798,8791,8769,8782,8792,8786
162,36,000,00441,00000,00000,0,A,Akron village,New York,2868,2894,2893,2885,2882,2887,2882,2873,2866,2859,2862,2856
162,36,000,01000,00000,00000,0,A,Albany city,New York,97856,97845,97753,97956,98409,98488,98366,98232,97941,97735,97011,96460
162,36,000,01033,00000,00000,0,A,Albion village,New York,6056,6077,6080,5983,5954,6061,6057,5989,5965,5879,5852,5735
162,36,000,01088,00000,00000,0,A,Alden village,New York,2605,2605,2604,2598,2610,2607,2597,2584,2569,2565,2567,2569
162,36,000,01154,00000,00000,0,A,Alexander village,New York,509,509,511,510,508,503,499,500,498,497,496,493
162,36,000,01187,00000,00000,0,A,Alexandria Bay village,New York,1078,1075,1072,1088,1110,1097,1094,1085,1053,1057,1047,1028
162,36,000,01198,00000,00000,0,A,Alfred village,New York,4174,4182,4183,4133,4058,4035,4065,4072,4079,4019,3997,3991
162,36,000,01286,00000,00000,0,A,Allegany village,New York,1816,1805,1802,1789,1775,1765,1753,1734,1723,1710,1715,1696
162,36,000,01440,00000,00000,0,A,Almond village,New York,466,463,463,461,457,454,451,444,441,438,434,430
162,36,000,01517,00000,00000,0,A,Altamont village,New York,1720,1718,1716,1715,1716,1715,1712,1703,1706,1698,1685,1669
162,36,000,01737,00000,00000,0,A,Ames village,New York,145,145,145,143,142,141,141,141,140,139,140,139
162,36,000,02044,00000,00000,0,A,Amityville village,New York,9523,9500,9509,9528,9508,9489,9458,9424,9497,9458,9438,9399
162,36,000,02066,00000,00000,0,A,Amsterdam city,New York,18620,18606,18611,18372,18251,18110,18070,17987,17843,17801,17854,17766
162,36,000,02143,00000,00000,0,A,Andover village,New York,1042,1041,1042,1037,1028,1022,1017,1006,998,990,981,977
162,36,000,02176,00000,00000,0,A,Angelica village,New York,869,869,870,865,857,851,845,838,829,829,821,818
162,36,000,02198,00000,00000,0,A,Angola village,New York,2127,2136,2135,2133,2133,2132,2128,2120,2111,2107,2108,2101
162,36,000,02286,00000,00000,0,A,Antwerp village,New York,686,680,682,692,706,697,694,689,669,671,665,653
162,36,000,02407,00000,00000,0,A,Arcade village,New York,2071,2068,2062,2047,2036,2014,1990,1978,1958,1956,1936,1933
162,36,000,02506,00000,00000,0,A,Ardsley village,New York,4452,4379,4385,4414,4421,4443,4451,4516,4527,4505,4494,4502
